model,step,seed,entropy_bits
GPT 4.1,1,1,4.643856189774724
GPT 4.1,1,2,4.643856189774724
GPT 4.1,1,3,4.643856189774724
GPT 4.1,1,4,4.643856189774724
GPT 4.1,1,5,4.643856189774724
GPT 4.1,1,6,4.643856189774724
GPT 4.1,1,7,4.643856189774724
GPT 4.1,1,8,4.643856189774724
GPT 4.1,1,9,4.643856189774724
GPT 4.1,1,10,4.643856189774724
GPT 4.1,2,1,3.906890595608519
GPT 4.1,2,2,3.807354922057604
GPT 4.1,2,3,4.0
GPT 4.1,2,4,3.906890595608519
GPT 4.1,2,5,3.807354922057604
GPT 4.1,2,6,3.906890595608519
GPT 4.1,2,7,3.584962500721156
GPT 4.1,2,8,3.906890595608519
GPT 4.1,2,9,3.906890595608519
GPT 4.1,2,10,4.0
GPT 4.1,3,1,3.0
GPT 4.1,3,2,3.0
GPT 4.1,3,3,3.169925001442312
GPT 4.1,3,4,3.169925001442312
GPT 4.1,3,5,3.0
GPT 4.1,3,6,3.169925001442312
GPT 4.1,3,7,3.0
GPT 4.1,3,8,3.321928094887362
GPT 4.1,3,9,3.0
GPT 4.1,3,10,3.0
GPT 4.1,4,1,2.0
GPT 4.1,4,2,2.584962500721156
GPT 4.1,4,3,2.321928094887362
GPT 4.1,4,4,2.584962500721156
GPT 4.1,4,5,2.584962500721156
GPT 4.1,4,6,2.584962500721156
GPT 4.1,4,7,2.321928094887362
GPT 4.1,4,8,2.584962500721156
GPT 4.1,4,9,2.321928094887362
GPT 4.1,4,10,2.584962500721156
GPT 4.1,5,1,2.0
GPT 4.1,5,2,2.0
GPT 4.1,5,3,1.584962500721156
GPT 4.1,5,4,1.584962500721156
GPT 4.1,5,5,2.0
GPT 4.1,5,6,1.584962500721156
GPT 4.1,5,7,1.584962500721156
GPT 4.1,5,8,1.584962500721156
GPT 4.1,5,9,1.584962500721156
GPT 4.1,5,10,1.584962500721156
GPT 4.1,6,1,1.0
GPT 4.1,6,2,1.0
GPT 4.1,6,3,1.0
GPT 4.1,6,4,1.0
GPT 4.1,6,5,1.0
GPT 4.1,6,6,1.0
GPT 4.1,6,7,1.0
GPT 4.1,6,8,1.0
GPT 4.1,6,9,1.0
GPT 4.1,6,10,1.0
GPT 4.1,7,1,0.0
GPT 4.1,7,2,1.0
GPT 4.1,7,3,0.0
GPT 4.1,7,4,0.0
GPT 4.1,7,5,0.0
GPT 4.1,7,6,0.0
GPT 4.1,7,7,0.0
GPT 4.1,7,8,0.0
GPT 4.1,7,9,0.0
GPT 4.1,7,10,0.0
GPT 4.1,8,1,0.0
GPT 4.1,8,2,0.0
GPT 4.1,8,3,0.0
GPT 4.1,8,4,0.0
GPT 4.1,8,5,0.0
GPT 4.1,8,6,0.0
GPT 4.1,8,7,0.0
GPT 4.1,8,8,0.0
GPT 4.1,8,9,0.0
GPT 4.1,8,10,0.0
Gemini 2.0 Flash,1,1,4.643856189774724
Gemini 2.0 Flash,1,2,4.643856189774724
Gemini 2.0 Flash,1,3,4.643856189774724
Gemini 2.0 Flash,1,4,4.643856189774724
Gemini 2.0 Flash,1,5,4.643856189774724
Gemini 2.0 Flash,1,6,4.643856189774724
Gemini 2.0 Flash,1,7,4.643856189774724
Gemini 2.0 Flash,1,8,4.643856189774724
Gemini 2.0 Flash,1,9,4.643856189774724
Gemini 2.0 Flash,1,10,4.643856189774724
Gemini 2.0 Flash,2,1,3.700439718141092
Gemini 2.0 Flash,2,2,3.807354922057604
Gemini 2.0 Flash,2,3,3.700439718141092
Gemini 2.0 Flash,2,4,3.906890595608519
Gemini 2.0 Flash,2,5,3.807354922057604
Gemini 2.0 Flash,2,6,3.584962500721156
Gemini 2.0 Flash,2,7,3.807354922057604
Gemini 2.0 Flash,2,8,3.700439718141092
Gemini 2.0 Flash,2,9,3.700439718141092
Gemini 2.0 Flash,2,10,3.700439718141092
Gemini 2.0 Flash,3,1,2.584962500721156
Gemini 2.0 Flash,3,2,3.0
Gemini 2.0 Flash,3,3,3.0
Gemini 2.0 Flash,3,4,3.169925001442312
Gemini 2.0 Flash,3,5,3.0
Gemini 2.0 Flash,3,6,3.169925001442312
Gemini 2.0 Flash,3,7,3.0
Gemini 2.0 Flash,3,8,2.807354922057604
Gemini 2.0 Flash,3,9,3.321928094887362
Gemini 2.0 Flash,3,10,3.0
Gemini 2.0 Flash,4,1,2.0
Gemini 2.0 Flash,4,2,2.0
Gemini 2.0 Flash,4,3,2.0
Gemini 2.0 Flash,4,4,2.0
Gemini 2.0 Flash,4,5,2.0
Gemini 2.0 Flash,4,6,2.321928094887362
Gemini 2.0 Flash,4,7,2.0
Gemini 2.0 Flash,4,8,2.321928094887362
Gemini 2.0 Flash,4,9,1.584962500721156
Gemini 2.0 Flash,4,10,2.321928094887362
Gemini 2.0 Flash,5,1,1.584962500721156
Gemini 2.0 Flash,5,2,1.584962500721156
Gemini 2.0 Flash,5,3,1.584962500721156
Gemini 2.0 Flash,5,4,1.584962500721156
Gemini 2.0 Flash,5,5,1.584962500721156
Gemini 2.0 Flash,5,6,1.584962500721156
Gemini 2.0 Flash,5,7,1.584962500721156
Gemini 2.0 Flash,5,8,1.584962500721156
Gemini 2.0 Flash,5,9,1.584962500721156
Gemini 2.0 Flash,5,10,1.584962500721156
Gemini 2.0 Flash,6,1,1.0
Gemini 2.0 Flash,6,2,1.0
Gemini 2.0 Flash,6,3,1.0
Gemini 2.0 Flash,6,4,1.0
Gemini 2.0 Flash,6,5,1.0
Gemini 2.0 Flash,6,6,1.0
Gemini 2.0 Flash,6,7,1.0
Gemini 2.0 Flash,6,8,1.0
Gemini 2.0 Flash,6,9,1.0
Gemini 2.0 Flash,6,10,1.0
Gemini 2.0 Flash,7,1,0.0
Gemini 2.0 Flash,7,2,0.0
Gemini 2.0 Flash,7,3,0.0
Gemini 2.0 Flash,7,4,0.0
Gemini 2.0 Flash,7,5,0.0
Gemini 2.0 Flash,7,6,0.0
Gemini 2.0 Flash,7,7,0.0
Gemini 2.0 Flash,7,8,0.0
Gemini 2.0 Flash,7,9,0.0
Gemini 2.0 Flash,7,10,0.0
Gemini 2.0 Flash,8,1,0.0
Gemini 2.0 Flash,8,2,0.0
Gemini 2.0 Flash,8,3,0.0
Gemini 2.0 Flash,8,4,0.0
Gemini 2.0 Flash,8,5,0.0
Gemini 2.0 Flash,8,6,0.0
Gemini 2.0 Flash,8,7,0.0
Gemini 2.0 Flash,8,8,0.0
Gemini 2.0 Flash,8,9,0.0
Gemini 2.0 Flash,8,10,0.0
Claude Haiku 4.5,1,1,4.643856189774724
Claude Haiku 4.5,1,2,4.643856189774724
Claude Haiku 4.5,1,3,4.643856189774724
Claude Haiku 4.5,1,4,4.643856189774724
Claude Haiku 4.5,1,5,4.643856189774724
Claude Haiku 4.5,1,6,4.643856189774724
Claude Haiku 4.5,1,7,4.643856189774724
Claude Haiku 4.5,1,8,4.643856189774724
Claude Haiku 4.5,1,9,4.643856189774724
Claude Haiku 4.5,1,10,4.643856189774724
Claude Haiku 4.5,2,1,4.087462841250339
Claude Haiku 4.5,2,2,3.906890595608519
Claude Haiku 4.5,2,3,4.321928094887363
Claude Haiku 4.5,2,4,4.087462841250339
Claude Haiku 4.5,2,5,4.0
Claude Haiku 4.5,2,6,4.0
Claude Haiku 4.5,2,7,4.087462841250339
Claude Haiku 4.5,2,8,4.087462841250339
Claude Haiku 4.5,2,9,4.321928094887363
Claude Haiku 4.5,2,10,3.807354922057604
Claude Haiku 4.5,3,1,3.584962500721156
Claude Haiku 4.5,3,2,3.700439718141092
Claude Haiku 4.5,3,3,3.4594316186372973
Claude Haiku 4.5,3,4,3.584962500721156
Claude Haiku 4.5,3,5,3.807354922057604
Claude Haiku 4.5,3,6,3.4594316186372973
Claude Haiku 4.5,3,7,3.584962500721156
Claude Haiku 4.5,3,8,3.4594316186372973
Claude Haiku 4.5,3,9,3.700439718141092
Claude Haiku 4.5,3,10,3.4594316186372973
Claude Haiku 4.5,4,1,3.169925001442312
Claude Haiku 4.5,4,2,3.169925001442312
Claude Haiku 4.5,4,3,3.321928094887362
Claude Haiku 4.5,4,4,3.4594316186372973
Claude Haiku 4.5,4,5,3.0
Claude Haiku 4.5,4,6,3.169925001442312
Claude Haiku 4.5,4,7,3.169925001442312
Claude Haiku 4.5,4,8,3.169925001442312
Claude Haiku 4.5,4,9,3.169925001442312
Claude Haiku 4.5,4,10,3.169925001442312
Claude Haiku 4.5,5,1,2.321928094887362
Claude Haiku 4.5,5,2,2.321928094887362
Claude Haiku 4.5,5,3,2.321928094887362
Claude Haiku 4.5,5,4,2.321928094887362
Claude Haiku 4.5,5,5,2.584962500721156
Claude Haiku 4.5,5,6,2.321928094887362
Claude Haiku 4.5,5,7,2.321928094887362
Claude Haiku 4.5,5,8,2.321928094887362
Claude Haiku 4.5,5,9,2.584962500721156
Claude Haiku 4.5,5,10,2.584962500721156
Claude Haiku 4.5,6,1,1.584962500721156
Claude Haiku 4.5,6,2,1.584962500721156
Claude Haiku 4.5,6,3,2.0
Claude Haiku 4.5,6,4,2.0
Claude Haiku 4.5,6,5,1.584962500721156
Claude Haiku 4.5,6,6,2.0
Claude Haiku 4.5,6,7,2.0
Claude Haiku 4.5,6,8,2.0
Claude Haiku 4.5,6,9,2.0
Claude Haiku 4.5,6,10,2.0
Claude Haiku 4.5,7,1,1.0
Claude Haiku 4.5,7,2,1.0
Claude Haiku 4.5,7,3,1.0
Claude Haiku 4.5,7,4,1.0
Claude Haiku 4.5,7,5,1.0
Claude Haiku 4.5,7,6,1.0
Claude Haiku 4.5,7,7,1.0
Claude Haiku 4.5,7,8,1.0
Claude Haiku 4.5,7,9,1.0
Claude Haiku 4.5,7,10,1.0
Claude Haiku 4.5,8,1,0.0
Claude Haiku 4.5,8,2,0.0
Claude Haiku 4.5,8,3,0.0
Claude Haiku 4.5,8,4,0.0
Claude Haiku 4.5,8,5,0.0
Claude Haiku 4.5,8,6,0.0
Claude Haiku 4.5,8,7,0.0
Claude Haiku 4.5,8,8,0.0
Claude Haiku 4.5,8,9,0.0
Claude Haiku 4.5,8,10,0.0
Oracle,1,1,4.643856189774724
Oracle,1,2,4.643856189774724
Oracle,1,3,4.643856189774724
Oracle,1,4,4.643856189774724
Oracle,1,5,4.643856189774724
Oracle,1,6,4.643856189774724
Oracle,1,7,4.643856189774724
Oracle,1,8,4.643856189774724
Oracle,1,9,4.643856189774724
Oracle,1,10,4.643856189774724
Oracle,2,1,3.4594316186372973
Oracle,2,2,3.4594316186372973
Oracle,2,3,3.4594316186372973
Oracle,2,4,3.4594316186372973
Oracle,2,5,3.700439718141092
Oracle,2,6,3.700439718141092
Oracle,2,7,3.700439718141092
Oracle,2,8,3.700439718141092
Oracle,2,9,3.584962500721156
Oracle,2,10,3.584962500721156
Oracle,3,1,2.321928094887362
Oracle,3,2,2.321928094887362
Oracle,3,3,2.807354922057604
Oracle,3,4,2.807354922057604
Oracle,3,5,2.584962500721156
Oracle,3,6,2.584962500721156
Oracle,3,7,2.584962500721156
Oracle,3,8,2.584962500721156
Oracle,3,9,2.584962500721156
Oracle,3,10,2.584962500721156
Oracle,4,1,1.0
Oracle,4,2,2.0
Oracle,4,3,1.584962500721156
Oracle,4,4,1.584962500721156
Oracle,4,5,1.584962500721156
Oracle,4,6,1.584962500721156
Oracle,4,7,1.584962500721156
Oracle,4,8,1.584962500721156
Oracle,4,9,1.584962500721156
Oracle,4,10,1.584962500721156
Oracle,5,1,1.0
Oracle,5,2,1.0
Oracle,5,3,1.0
Oracle,5,4,1.0
Oracle,5,5,1.0
Oracle,5,6,1.0
Oracle,5,7,1.0
Oracle,5,8,1.0
Oracle,5,9,1.0
Oracle,5,10,1.0
Oracle,6,1,0.0
Oracle,6,2,0.0
Oracle,6,3,0.0
Oracle,6,4,0.0
Oracle,6,5,0.0
Oracle,6,6,0.0
Oracle,6,7,0.0
Oracle,6,8,0.0
Oracle,6,9,0.0
Oracle,6,10,0.0
Oracle,7,1,0.0
Oracle,7,2,0.0
Oracle,7,3,0.0
Oracle,7,4,0.0
Oracle,7,5,0.0
Oracle,7,6,0.0
Oracle,7,7,0.0
Oracle,7,8,0.0
Oracle,7,9,0.0
Oracle,7,10,0.0
Oracle,8,1,0.0
Oracle,8,2,0.0
Oracle,8,3,0.0
Oracle,8,4,0.0
Oracle,8,5,0.0
Oracle,8,6,0.0
Oracle,8,7,0.0
Oracle,8,8,0.0
Oracle,8,9,0.0
Oracle,8,10,0.0
